Sl. No.,NT,THT,THt2,THQCr,CT,Ct3,DT,Dt4,QmT,TT,Tt5,TCr,C,Ni,Cr,Mo,Fatigue,,,
136,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.04,0.94,0,485,,,
137,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.05,1.09,0,483,,,
138,870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.05,1.01,0.16,587,,,
139,870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.02,1.03,0.15,571,,,
140,870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.03,1.03,0.17,578,,,
141,870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.05,0.99,0.16,526,,,
142,870,855,30,8,30,0,30,0,30,550,60,24,0.34,0.12,1.01,0.17,535,,,
143,870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.05,0.97,0.15,572,,,
144,870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.04,1.09,0.16,562,,,
145,870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.08,0.99,0.19,563,,,
146,870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.02,1.06,0.17,583,,,
147,870,855,30,8,30,0,30,0,30,550,60,24,0.33,0.04,0.99,0.18,585,,,
148,870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.01,1,0.16,592,,,
149,870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.12,1.01,0.16,573,,,
150,870,855,30,8,30,0,30,0,30,550,60,24,0.38,0.07,1.07,0.16,536,,,
151,870,855,30,8,30,0,30,0,30,550,60,24,0.34,0.11,1.05,0.16,557,,,
152,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.05,1.01,0.16,552,,,
153,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.02,1.03,0.15,519,,,
154,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.03,1.03,0.17,524,,,
155,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.05,0.99,0.16,508,,,
156,870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.12,1.01,0.17,490,,,
157,870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.05,0.97,0.15,550,,,
158,870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.04,1.09,0.16,515,,,
159,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.08,0.99,0.19,530,,,
160,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.02,1.06,0.17,546,,,
161,870,855,30,8,30,0,30,0,30,600,60,24,0.33,0.04,0.99,0.18,535,,,
162,870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.01,1,0.16,550,,,
163,870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.12,1.01,0.16,542,,,
164,870,855,30,8,30,0,30,0,30,600,60,24,0.38,0.07,1.07,0.16,592,,,
165,870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.11,1.05,0.16,524,,,
166,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.05,1.01,0.16,497,,,
167,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.02,1.03,0.15,491,,,
168,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.03,1.03,0.17,463,,,
169,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.05,0.99,0.16,464,,,
170,870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.12,1.01,0.17,459,,,
171,870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.05,0.97,0.15,489,,,
172,870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.04,1.09,0.16,477,,,
173,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.08,0.99,0.19,469,,,
174,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.02,1.06,0.17,496,,,
175,870,855,30,8,30,0,30,0,30,650,60,24,0.33,0.04,0.99,0.18,467,,,
176,870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.01,1,0.16,511,,,
177,870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.12,1.01,0.16,490,,,
178,870,855,30,8,30,0,30,0,30,650,60,24,0.38,0.07,1.07,0.16,523,,,
179,870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.11,1.05,0.16,476,,,
180,870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.04,1.06,0.2,610,,,
181,870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.1,0.96,0.17,581,,,
182,870,855,30,8,30,0,30,0,30,550,60,24,0.43,0.02,1.07,0.22,625,,,
183,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.05,0.98,0.17,562,,,
184,870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.03,1.02,0.18,635,,,
185,870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.05,0.99,0.16,566,,,
186,870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.09,1.08,0.19,638,,,
187,870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.02,1,0.19,606,,,
188,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.12,1.1,0.15,582,,,
189,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.07,1.04,0.17,634,,,
190,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.13,1.01,0.17,585,,,
191,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.07,1.06,0.18,603,,,
192,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.04,0.94,0.17,625,,,
193,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.24,0.96,0.18,631,,,
194,870,855,30,8,30,0,30,0,30,550,60,24,0.44,0.02,1.05,0.21,625,,,
195,870,855,30,8,30,0,30,0,30,600,60,24,0.41,0.04,1.06,0.2,551,,,
196,870,855,30,8,30,0,30,0,30,600,60,24,0.39,0.1,0.96,0.17,539,,,
197,870,855,30,8,30,0,30,0,30,600,60,24,0.43,0.02,1.07,0.22,564,,,
198,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.05,0.98,0.17,550,,,
199,870,855,30,8,30,0,30,0,30,600,60,24,0.41,0.03,1.02,0.18,590,,,
200,870,855,30,8,30,0,30,0,30,600,60,24,0.41,0.05,0.99,0.16,527,,,
201,870,855,30,8,30,0,30,0,30,600,60,24,0.39,0.09,1.08,0.19,557,,,
202,870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.02,1,0.19,551,,,
203,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.12,1.1,0.15,583,,,
204,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.07,1.04,0.17,570,,,
205,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.13,1.01,0.17,543,,,
206,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.07,1.06,0.18,543,,,
207,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.04,0.94,0.17,563,,,
208,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.24,0.96,0.18,577,,,
209,870,855,30,8,30,0,30,0,30,600,60,24,0.44,0.02,1.05,0.21,578,,,
210,870,855,30,8,30,0,30,0,30,650,60,24,0.41,0.04,1.06,0.2,490,,,
211,870,855,30,8,30,0,30,0,30,650,60,24,0.39,0.1,0.96,0.17,496,,,
212,870,855,30,8,30,0,30,0,30,650,60,24,0.43,0.02,1.07,0.22,511,,,
213,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.05,0.98,0.17,494,,,
214,870,855,30,8,30,0,30,0,30,650,60,24,0.41,0.03,1.02,0.18,517,,,
215,870,855,30,8,30,0,30,0,30,650,60,24,0.41,0.05,0.99,0.16,480,,,
216,870,855,30,8,30,0,30,0,30,650,60,24,0.39,0.09,1.08,0.19,502,,,
217,870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.02,1,0.19,504,,,
218,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.12,1.1,0.15,505,,,
219,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.07,1.04,0.17,502,,,
220,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.13,1.01,0.17,496,,,
221,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.07,1.06,0.18,501,,,
222,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.04,0.94,0.17,517,,,
223,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.24,0.96,0.18,523,,,
224,870,855,30,8,30,0,30,0,30,650,60,24,0.44,0.02,1.05,0.21,516,,,
225,870,845,30,8,30,0,30,0,30,550,60,24,0.39,0.05,0.13,0,486,,,
226,870,845,30,8,30,0,30,0,30,550,60,24,0.38,0.03,0.13,0,427,,,
227,870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.02,0.13,0,510,,,
228,870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.06,0.09,0,451,,,
229,870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.04,0.22,0,425,,,
230,870,845,30,8,30,0,30,0,30,550,60,24,0.38,0.03,0.2,0,432,,,
231,870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.02,0.03,0,482,,,
232,870,845,30,8,30,0,30,0,30,600,60,24,0.39,0.05,0.13,0,435,,,
233,870,845,30,8,30,0,30,0,30,600,60,24,0.38,0.03,0.13,0,406,,,
234,870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.02,0.13,0,470,,,
235,870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.06,0.09,0,438,,,
236,870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.04,0.22,0,404,,,
237,870,845,30,8,30,0,30,0,30,600,60,24,0.38,0.03,0.2,0,406,,,
238,870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.02,0.03,0,443,,,
239,870,845,30,8,30,0,30,0,30,650,60,24,0.39,0.05,0.13,0,397,,,
240,870,845,30,8,30,0,30,0,30,650,60,24,0.38,0.03,0.13,0,385,,,
241,870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.02,0.13,0,425,,,
242,870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.06,0.09,0,396,,,
243,870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.04,0.22,0,380,,,
244,870,845,30,8,30,0,30,0,30,650,60,24,0.38,0.03,0.2,0,363,,,
245,870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.02,0.03,0,398,,,
246,870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.04,0.15,0,505,,,
247,870,845,30,8,30,0,30,0,30,550,60,24,0.43,0.08,0.26,0,536,,,
248,870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.03,0.12,0,484,,,
249,870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.06,0.17,0,495,,,
250,870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.02,0.12,0,551,,,
251,870,845,30,8,30,0,30,0,30,550,60,24,0.45,0.06,0.1,0,477,,,
252,870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.07,0.27,0,530,,,
253,870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.02,0.04,0,516,,,
254,870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.03,0.08,0,445,,,
255,870,845,30,8,30,0,30,0,30,550,60,24,0.46,0.1,0.26,0,551,,,
256,870,845,30,8,30,0,30,0,30,550,60,24,0.43,0.02,0.19,0,510,,,
257,870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.04,0.13,0,443,,,
258,870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.04,0.15,0,449,,,
259,870,845,30,8,30,0,30,0,30,600,60,24,0.43,0.08,0.26,0,502,,,
260,870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.03,0.12,0,451,,,
261,870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.06,0.17,0,459,,,
262,870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.02,0.12,0,497,,,
263,870,845,30,8,30,0,30,0,30,600,60,24,0.45,0.06,0.1,0,451,,,
264,870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.07,0.27,0,497,,,
265,870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.02,0.04,0,461,,,
266,870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.03,0.08,0,399,,,
267,870,845,30,8,30,0,30,0,30,600,60,24,0.46,0.1,0.26,0,502,,,
268,870,845,30,8,30,0,30,0,30,600,60,24,0.43,0.02,0.19,0,490,,,
269,870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.04,0.13,0,424,,,
270,870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.04,0.15,0,411,,,
271,870,845,30,8,30,0,30,0,30,650,60,24,0.43,0.08,0.26,0,448,,,
272,870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.03,0.12,0,404,,,
273,870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.06,0.17,0,411,,,
274,870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.02,0.12,0,438,,,
275,870,845,30,8,30,0,30,0,30,650,60,24,0.45,0.06,0.1,0,410,,,
276,870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.07,0.27,0,450,,,
277,870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.02,0.04,0,410,,,
278,870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.03,0.08,0,383,,,
279,870,845,30,8,30,0,30,0,30,650,60,24,0.46,0.1,0.26,0,460,,,
280,870,845,30,8,30,0,30,0,30,650,60,24,0.43,0.02,0.19,0,442,,,
281,870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.04,0.13,0,399,,,
282,900,845,30,8,30,0,30,0,30,550,60,24,0.32,2.66,0.82,0,563,,,
283,900,845,30,8,30,0,30,0,30,550,60,24,0.32,2.65,0.71,0,530,,,
284,900,845,30,8,30,0,30,0,30,550,60,24,0.32,2.64,0.75,0,570,,,
285,900,845,30,8,30,0,30,0,30,550,60,24,0.35,2.78,0.89,0,578,,,
286,900,845,30,8,30,0,30,0,30,550,60,24,0.31,2.63,0.71,0,537,,,
287,900,845,30,8,30,0,30,0,30,550,60,24,0.33,2.66,0.82,0,569,,,
288,900,845,30,8,30,0,30,0,30,550,60,24,0.28,2.67,0.87,0,576,,,
289,900,845,30,8,30,0,30,0,30,550,60,24,0.34,2.63,0.84,0,549,,,
290,900,845,30,8,30,0,30,0,30,550,60,24,0.3,2.7,0.81,0,522,,,
291,900,845,30,8,30,0,30,0,30,550,60,24,0.32,2.67,0.77,0,570,,,
292,900,845,30,8,30,0,30,0,30,600,60,24,0.32,2.66,0.82,0,510,,,
293,900,845,30,8,30,0,30,0,30,600,60,24,0.32,2.65,0.71,0,510,,,
294,900,845,30,8,30,0,30,0,30,600,60,24,0.32,2.64,0.75,0,517,,,
295,900,845,30,8,30,0,30,0,30,600,60,24,0.35,2.78,0.89,0,540,,,
296,900,845,30,8,30,0,30,0,30,600,60,24,0.31,2.63,0.71,0,518,,,
297,900,845,30,8,30,0,30,0,30,600,60,24,0.33,2.66,0.82,0,523,,,
298,900,845,30,8,30,0,30,0,30,600,60,24,0.28,2.67,0.87,0,537,,,
299,900,845,30,8,30,0,30,0,30,600,60,24,0.34,2.63,0.84,0,536,,,
300,900,845,30,8,30,0,30,0,30,600,60,24,0.3,2.7,0.81,0,503,,,
301,900,845,30,8,30,0,30,0,30,600,60,24,0.32,2.67,0.77,0,540,,,
302,900,845,30,8,30,0,30,0,30,650,60,24,0.32,2.66,0.82,0,490,,,
303,900,845,30,8,30,0,30,0,30,650,60,24,0.32,2.65,0.71,0,477,,,
304,900,845,30,8,30,0,30,0,30,650,60,24,0.32,2.64,0.75,0,483,,,
